Sep=;
#X1;-12288
#Z1;-5778
#X2;-8813
#Z2;-2519
seed;structure;x;z;details
-7255983415753010796;mineshaft;-10144;-5504;
-7255983415753010796;mineshaft;-10144;-2928;
-7255983415753010796;mineshaft;-10112;-4384;
-7255983415753010796;mineshaft;-10096;-5040;
-7255983415753010796;mineshaft;-10080;-5072;
-7255983415753010796;mineshaft;-10048;-5472;
-7255983415753010796;mineshaft;-10048;-4480;
-7255983415753010796;mineshaft;-10048;-3280;
-7255983415753010796;mineshaft;-9984;-5024;
-7255983415753010796;mineshaft;-9984;-4880;
-7255983415753010796;mineshaft;-9952;-5360;
-7255983415753010796;mineshaft;-9952;-4272;
-7255983415753010796;mineshaft;-9952;-4160;
-7255983415753010796;mineshaft;-9952;-3232;
-7255983415753010796;mineshaft;-9936;-2832;
-7255983415753010796;mineshaft;-9904;-4720;
-7255983415753010796;mineshaft;-9856;-4000;
-7255983415753010796;mineshaft;-9840;-5008;
-7255983415753010796;mineshaft;-9840;-4064;
-7255983415753010796;mineshaft;-9824;-3904;
-7255983415753010796;mineshaft;-9824;-3072;
-7255983415753010796;mineshaft;-9824;-2944;
-7255983415753010796;mineshaft;-9808;-4432;
-7255983415753010796;mineshaft;-9728;-4128;
-7255983415753010796;mineshaft;-9728;-4096;
-7255983415753010796;mineshaft;-9696;-3040;
-7255983415753010796;mineshaft;-9648;-2976;
-7255983415753010796;mineshaft;-9632;-5728;
-7255983415753010796;mineshaft;-9584;-2544;
-7255983415753010796;mineshaft;-9568;-3488;
-7255983415753010796;mineshaft;-9552;-3712;
-7255983415753010796;mineshaft;-9520;-5248;
-7255983415753010796;mineshaft;-9488;-2896;
-7255983415753010796;mineshaft;-9488;-2768;
-7255983415753010796;mineshaft;-9456;-5472;
-7255983415753010796;mineshaft;-9408;-5776;
-7255983415753010796;mineshaft;-9408;-4912;
-7255983415753010796;mineshaft;-9376;-5296;
-7255983415753010796;mineshaft;-9376;-3584;
-7255983415753010796;mineshaft;-9328;-5696;
-7255983415753010796;mineshaft;-9296;-4048;
-7255983415753010796;mineshaft;-9280;-2704;
-7255983415753010796;mineshaft;-9264;-3088;
-7255983415753010796;mineshaft;-9216;-4464;
-7255983415753010796;mineshaft;-9216;-4160;
-7255983415753010796;mineshaft;-9200;-4688;
-7255983415753010796;mineshaft;-9184;-3840;
-7255983415753010796;mineshaft;-9168;-4704;
-7255983415753010796;mineshaft;-9168;-3888;
-7255983415753010796;mineshaft;-9152;-5760;
-7255983415753010796;mineshaft;-9136;-5456;
-7255983415753010796;mineshaft;-9136;-4800;
-7255983415753010796;mineshaft;-9104;-4736;
-7255983415753010796;mineshaft;-9088;-3440;
-7255983415753010796;mineshaft;-9072;-5152;
-7255983415753010796;mineshaft;-9056;-5184;
-7255983415753010796;mineshaft;-9056;-3824;
-7255983415753010796;mineshaft;-9040;-3152;
-7255983415753010796;mineshaft;-9024;-3904;
-7255983415753010796;mineshaft;-9008;-4928;
-7255983415753010796;mineshaft;-8992;-3248;
-7255983415753010796;mineshaft;-8944;-4208;
-7255983415753010796;mineshaft;-8928;-5360;
-7255983415753010796;mineshaft;-8896;-2704;
-7255983415753010796;mineshaft;-8880;-4272;
-7255983415753010796;mineshaft;-8832;-4656;
-7255983415753010796;outpost;-11952;-4576;
-7255983415753010796;outpost;-8880;-3776;
-7255983415753010796;ancient_city;-9936;-5328;
-7255983415753010796;ancient_city;-9936;-3440;
-7255983415753010796;ancient_city;-9408;-4928;
-7255983415753010796;ancient_city;-9376;-2864;
-7255983415753010796;ancient_city;-9008;-2896;
-7255983415753010796;ancient_city;-8816;-5232;
-7255983415753010796;ruined_portal;-11984;-5472;standard:ruined_portal_1
-7255983415753010796;ruined_portal;-12112;-4864;standard:ruined_portal_4:underground:airpocket
-7255983415753010796;ruined_portal;-12000;-4336;standard:ruined_portal_2:airpocket
-7255983415753010796;ruined_portal;-12112;-3696;standard:ruined_portal_4:underground:airpocket
-7255983415753010796;ruined_portal;-11904;-2944;standard:ruined_portal_8:underground:airpocket
-7255983415753010796;ruined_portal;-11312;-5520;mountain:ruined_portal_5:airpocket
-7255983415753010796;ruined_portal;-11392;-5056;standard:ruined_portal_6:underground:airpocket
-7255983415753010796;ruined_portal;-11184;-4272;ocean:ruined_portal_8
-7255983415753010796;ruined_portal;-11424;-3504;mountain:ruined_portal_10:underground:airpocket
-7255983415753010796;ruined_portal;-11328;-2976;standard:ruined_portal_7:airpocket
-7255983415753010796;ruined_portal;-10704;-5728;mountain:ruined_portal_3:underground:airpocket
-7255983415753010796;ruined_portal;-10784;-4944;standard:ruined_portal_6:underground:airpocket
-7255983415753010796;ruined_portal;-10656;-4272;standard:ruined_portal_9
-7255983415753010796;ruined_portal;-10672;-3488;jungle:ruined_portal_9:airpocket
-7255983415753010796;ruined_portal;-10768;-3104;standard:giant_ruined_portal_1:underground:airpocket
-7255983415753010796;ruined_portal;-9856;-5696;ocean:ruined_portal_7
-7255983415753010796;ruined_portal;-10192;-4848;standard:ruined_portal_6:underground:airpocket
-7255983415753010796;ruined_portal;-10000;-4320;ocean:ruined_portal_7
-7255983415753010796;ruined_portal;-9872;-3584;standard:ruined_portal_8:underground:airpocket
-7255983415753010796;ruined_portal;-9920;-3072;standard:ruined_portal_9:underground:airpocket
-7255983415753010796;ruined_portal;-9584;-5392;standard:giant_ruined_portal_2:airpocket
-7255983415753010796;ruined_portal;-9488;-5120;standard:ruined_portal_9
-7255983415753010796;ruined_portal;-9216;-4192;ocean:ruined_portal_6
-7255983415753010796;ruined_portal;-9408;-3456;jungle:ruined_portal_5
-7255983415753010796;ruined_portal;-9552;-2976;jungle:ruined_portal_3
-7255983415753010796;ruined_portal;-8832;-5648;mountain:ruined_portal_3
-7255983415753010796;ruined_portal;-8928;-5008;standard:ruined_portal_9
-7255983415753010796;ruined_portal;-8896;-2912;standard:ruined_portal_8:underground:airpocket
-7255983415753010796;ruined_portal (nether);-11984;-5472;standard:ruined_portal_1
-7255983415753010796;ruined_portal (nether);-12112;-4864;standard:ruined_portal_4:underground:airpocket
-7255983415753010796;ruined_portal (nether);-12000;-4336;standard:ruined_portal_2:airpocket
-7255983415753010796;ruined_portal (nether);-12112;-3696;standard:ruined_portal_4:underground:airpocket
-7255983415753010796;ruined_portal (nether);-11904;-2944;standard:ruined_portal_8:underground:airpocket
-7255983415753010796;ruined_portal (nether);-11312;-5520;mountain:ruined_portal_5:airpocket
-7255983415753010796;ruined_portal (nether);-11392;-5056;standard:ruined_portal_6:underground:airpocket
-7255983415753010796;ruined_portal (nether);-11184;-4272;ocean:ruined_portal_8
-7255983415753010796;ruined_portal (nether);-11424;-3504;mountain:ruined_portal_10:underground:airpocket
-7255983415753010796;ruined_portal (nether);-11328;-2976;standard:ruined_portal_7:airpocket
-7255983415753010796;ruined_portal (nether);-10704;-5728;mountain:ruined_portal_3:underground:airpocket
-7255983415753010796;ruined_portal (nether);-10784;-4944;standard:ruined_portal_6:underground:airpocket
-7255983415753010796;ruined_portal (nether);-10656;-4272;standard:ruined_portal_9
-7255983415753010796;ruined_portal (nether);-10672;-3488;jungle:ruined_portal_9:airpocket
-7255983415753010796;ruined_portal (nether);-10768;-3104;standard:giant_ruined_portal_1:underground:airpocket
-7255983415753010796;ruined_portal (nether);-9856;-5696;ocean:ruined_portal_7
-7255983415753010796;ruined_portal (nether);-10192;-4848;standard:ruined_portal_6:underground:airpocket
-7255983415753010796;ruined_portal (nether);-10000;-4320;ocean:ruined_portal_7
-7255983415753010796;ruined_portal (nether);-9872;-3584;standard:ruined_portal_8:underground:airpocket
-7255983415753010796;ruined_portal (nether);-9920;-3072;standard:ruined_portal_9:underground:airpocket
-7255983415753010796;ruined_portal (nether);-9584;-5392;standard:giant_ruined_portal_2:airpocket
-7255983415753010796;ruined_portal (nether);-9488;-5120;standard:ruined_portal_9
-7255983415753010796;ruined_portal (nether);-9216;-4192;ocean:ruined_portal_6
-7255983415753010796;ruined_portal (nether);-9408;-3456;jungle:ruined_portal_5
-7255983415753010796;ruined_portal (nether);-9552;-2976;jungle:ruined_portal_3
-7255983415753010796;ruined_portal (nether);-8832;-5648;mountain:ruined_portal_3
-7255983415753010796;ruined_portal (nether);-8928;-5008;standard:ruined_portal_9
-7255983415753010796;ruined_portal (nether);-8896;-2912;standard:ruined_portal_8:underground:airpocket
-7255983415753010796;fortress;-11792;-5600;size=111:spawners=2:nether_wart=2
-7255983415753010796;fortress;-11856;-5072;size=134:spawners=2:nether_wart=2
-7255983415753010796;fortress;-12080;-4560;size=128:spawners=2:nether_wart=2
-7255983415753010796;fortress;-11872;-3248;size=138:spawners=2:nether_wart=2
-7255983415753010796;fortress;-11392;-5376;size=182:spawners=2:nether_wart=2
-7255983415753010796;fortress;-11424;-5088;size=128:spawners=2:nether_wart=2
-7255983415753010796;fortress;-11440;-4160;size=35:spawners=2
-7255983415753010796;fortress;-11344;-2976;size=139:spawners=2:nether_wart=2
-7255983415753010796;fortress;-11136;-4928;size=116:spawners=2:nether_wart=2
-7255983415753010796;fortress;-10976;-4576;size=102:spawners=2:nether_wart=2
-7255983415753010796;fortress;-10928;-4080;size=151:spawners=2:nether_wart=2
-7255983415753010796;fortress;-10992;-2832;size=172:spawners=2:nether_wart=2
-7255983415753010796;fortress;-10448;-5392;size=130:spawners=2:nether_wart=2
-7255983415753010796;fortress;-10592;-3168;size=110:spawners=2:nether_wart=2
-7255983415753010796;fortress;-10208;-5760;size=156:spawners=2:nether_wart=2
-7255983415753010796;fortress;-10240;-3552;size=131:spawners=2:nether_wart=2
-7255983415753010796;fortress;-10240;-3152;size=124:spawners=2:nether_wart=2
-7255983415753010796;fortress;-9920;-4928;size=117:spawners=2:nether_wart=2
-7255983415753010796;fortress;-9776;-4464;size=134:spawners=2:nether_wart=2
-7255983415753010796;fortress;-9712;-3600;size=55:spawners=2
-7255983415753010796;fortress;-9808;-3312;size=142:spawners=2:nether_wart=2
-7255983415753010796;fortress;-9360;-5088;size=142:spawners=2:nether_wart=2
-7255983415753010796;fortress;-9312;-4736;size=130:spawners=2:nether_wart=2
-7255983415753010796;fortress;-9440;-4112;size=103:spawners=2:nether_wart=2
-7255983415753010796;fortress;-9264;-3136;size=129:spawners=2:nether_wart=2
-7255983415753010796;fortress;-9248;-2992;size=127:spawners=2:nether_wart=2
-7255983415753010796;fortress;-9008;-3984;size=115:spawners=2:nether_wart=2
-7255983415753010796;bastion;-12208;-5424;hoglin_stable
-7255983415753010796;bastion;-12272;-4096;treasure
-7255983415753010796;bastion;-11808;-3968;bridge
-7255983415753010796;bastion;-11872;-3824;bridge
-7255983415753010796;bastion;-12048;-2848;bridge
-7255983415753010796;bastion;-11504;-4432;hoglin_stable
-7255983415753010796;bastion;-11488;-3808;hoglin_stable
-7255983415753010796;bastion;-10944;-5616;bridge
-7255983415753010796;bastion;-10992;-3824;treasure
-7255983415753010796;bastion;-10944;-3376;treasure
-7255983415753010796;bastion;-10656;-5184;treasure
-7255983415753010796;bastion;-10784;-4544;hoglin_stable
-7255983415753010796;bastion;-10640;-4224;treasure
-7255983415753010796;bastion;-10592;-3808;treasure
-7255983415753010796;bastion;-10544;-2928;units
-7255983415753010796;bastion;-10544;-2544;treasure
-7255983415753010796;bastion;-10144;-5616;treasure
-7255983415753010796;bastion;-10144;-4912;hoglin_stable
-7255983415753010796;bastion;-10336;-3968;hoglin_stable
-7255983415753010796;bastion;-10048;-2848;bridge
-7255983415753010796;bastion;-9776;-5728;treasure
-7255983415753010796;bastion;-9936;-5520;treasure
-7255983415753010796;bastion;-9840;-4016;units
-7255983415753010796;bastion;-9760;-2784;bridge
-7255983415753010796;bastion;-9328;-5584;bridge
-7255983415753010796;bastion;-9264;-3728;hoglin_stable
-7255983415753010796;bastion;-8928;-2816;hoglin_stable
-7255983415753010796;end_city;-11728;-3456;size=35:ship
-7255983415753010796;end_city;-11152;-4720;size=65:ship
-7255983415753010796;end_city;-10192;-5664;size=129:ship
-7255983415753010796;end_city;-9552;-4736;size=65:ship
-7255983415753010796;end_city;-9584;-3488;size=47:ship
-7255983415753010796;end_city;-9264;-3824;size=79:ship
-7255983415753010796;end_city;-9232;-3488;size=81:ship
-7255983415753010796;end_gateway;-11692;-5100;
-7255983415753010796;end_gateway;-11640;-5152;
-7255983415753010796;end_gateway;-11478;-5470;
-7255983415753010796;end_gateway;-11143;-4719;
-7255983415753010796;end_gateway;-10970;-2807;
-7255983415753010796;end_gateway;-10890;-3944;
-7255983415753010796;end_gateway;-10312;-2592;
-7255983415753010796;end_gateway;-10040;-2929;
-7255983415753010796;end_gateway;-9930;-4783;
-7255983415753010796;end_gateway;-9730;-4148;
-7255983415753010796;end_gateway;-9213;-4925;
-7255983415753010796;end_gateway;-8935;-5758;
-7255983415753010796;stronghold;-10288;-5704;
